time,frame_id,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1695706666.36954,map,0.7048614977479088,0.0,0.0,0.0,0.0,-0.008154158097449862
1695706666.3897169,map,0.7345746344214783,0.0,0.0,0.0,0.0,-0.005658643035242706
1695706666.4095473,map,0.7532500331051463,0.0,0.0,0.0,0.0,-0.005657333715504254
1695706666.4292877,map,0.7800609173880089,0.0,0.0,0.0,0.0,-0.005653783899398145
1695706666.4493556,map,0.7952031779061157,0.0,0.0,0.0,0.0,-0.005653781994990941
1695706666.469527,map,0.8173310488518073,0.0,0.0,0.0,0.0,-0.0057834577647425806
1695706666.4904933,map,0.8552919778509869,0.0,0.0,0.0,0.0,-0.004843460716775344
1695706666.5092628,map,0.8698666844379457,0.0,0.0,0.0,0.0,-0.00484296204961204
1695706666.5292861,map,0.8885091554667034,0.0,0.0,0.0,0.0,-0.005372460593357591
1695706666.549358,map,0.9176057924846096,0.0,0.0,0.0,0.0,-0.005627204921778135
1695706666.5693073,map,0.9290579948461946,0.0,0.0,0.0,0.0,-0.005627339826068791
1695706666.5894802,map,0.9453488241588623,0.0,0.0,0.0,0.0,-0.0054754494295462496
1695706666.609575,map,0.9556352464121562,0.0,0.0,0.0,0.0,-0.005475368842343379
1695706666.6294496,map,0.9737054685424422,0.0,0.0,0.0,0.0,-0.007542252853594592
1695706666.6499705,map,0.9871929690213447,0.0,0.0,0.0,0.0,-0.0075444398038769685
1695706666.6692998,map,1.007410408788723,0.0,0.0,0.0,0.0,-0.007279962313940849
1695706666.6903145,map,1.0369945382074763,0.0,0.0,0.0,0.0,-0.008529957301889933
1695706666.7095952,map,1.0479119041758467,0.0,0.0,0.0,0.0,-0.00853062106637303
1695706666.7293313,map,1.0626276266971597,0.0,0.0,0.0,0.0,-0.007524880832219715
1695706666.749558,map,1.071961729783903,0.0,0.0,0.0,0.0,-0.007523814686030064
1695706666.769401,map,1.0893055374853973,0.0,0.0,0.0,0.0,-0.007736230124368306
1695706666.7898378,map,1.1192118930054733,0.0,0.0,0.0,0.0,-0.007532937605955883
1695706666.8093498,map,1.130938413069098,0.0,0.0,0.0,0.0,-0.007532829639213234
1695706666.8292558,map,1.147414924140408,0.0,0.0,0.0,0.0,-0.00692271650941977
1695706666.8492968,map,1.1587421280860066,0.0,0.0,0.0,0.0,-0.006922068895782625
1695706666.869325,map,1.1750055882700945,0.0,0.0,0.0,0.0,-0.007734393689157641
1695706666.890013,map,1.2027378460952325,0.0,0.0,0.0,0.0,-0.009280417040908021
1695706666.9092982,map,1.2136963244202865,0.0,0.0,0.0,0.0,-0.009281239433589366
1695706666.9293208,map,1.2316037505838213,0.0,0.0,0.0,0.0,-0.00938988426000556
1695706666.9493225,map,1.2426158209657983,0.0,0.0,0.0,0.0,-0.009389941867686234
1695706666.9695601,map,1.2575916125375837,0.0,0.0,0.0,0.0,-0.009567583291252462
1695706666.9896085,map,1.2875288034234709,0.0,0.0,0.0,0.0,-0.01082931689626221
1695706667.0093908,map,1.300255073589041,0.0,0.0,0.0,0.0,-0.010829988229741221
1695706667.0294254,map,1.3163656618307291,0.0,0.0,0.0,0.0,-0.01057910657648755
1695706667.0495694,map,1.327871868125177,0.0,0.0,0.0,0.0,-0.010578973528205565
1695706667.0693235,map,1.3481740450413162,0.0,0.0,0.0,0.0,-0.009888410903856448
1695706667.0897596,map,1.3608995930774563,0.0,0.0,0.0,0.0,-0.00988804472180256
1695706667.109467,map,1.3785769321848493,0.0,0.0,0.0,0.0,-0.009932344939602643
1695706667.1297095,map,1.40922214733417,0.0,0.0,0.0,0.0,-0.00819732109758209
1695706667.149286,map,1.421014544764782,0.0,0.0,0.0,0.0,-0.008196397306695047
1695706667.1693661,map,1.438042279101175,0.0,0.0,0.0,0.0,-0.008812848667827911
1695706667.1893182,map,1.4488640002545268,0.0,0.0,0.0,0.0,-0.008813175651027957
1695706667.2092953,map,1.4660879579643369,0.0,0.0,0.0,0.0,-0.009564632263142173
1695706667.2292736,map,1.4777621551190823,0.0,0.0,0.0,0.0,-0.009565429486674567
1695706667.2492528,map,1.500343796455545,0.0,0.0,0.0,0.0,-0.009323256585003197
1695706667.2697349,map,1.5139465979316757,0.0,0.0,0.0,0.0,-0.009323170829804193
1695706667.2896605,map,1.5335829426978091,0.0,0.0,0.0,0.0,-0.01165200726186615
1695706667.3100114,map,1.5651747252777184,0.0,0.0,0.0,0.0,-0.011753862328926761
1695706667.3331704,map,1.5769781273598533,0.0,0.0,0.0,0.0,-0.011753915185761256
1695706667.3496401,map,1.59709753699107,0.0,0.0,0.0,0.0,-0.010786490667559986
1695706667.3696492,map,1.6308814337423614,0.0,0.0,0.0,0.0,-0.011947725156811919
1695706667.3897526,map,1.6444794948926247,0.0,0.0,0.0,0.0,-0.011948463427270031
1695706667.409585,map,1.666929847459887,0.0,0.0,0.0,0.0,-0.012766027298926464
1695706667.4294164,map,1.6812634474715706,0.0,0.0,0.0,0.0,-0.012766460834177467
1695706667.449219,map,1.712048076652983,0.0,0.0,0.0,0.0,-0.011740812904798321
1695706667.4694276,map,1.7313976730585596,0.0,0.0,0.0,0.0,-0.011740268419025566
1695706667.4910114,map,1.732191165588829,0.0,0.0,0.0,0.0,-0.011740268419025566
1695706667.5092814,map,1.7596942376865345,0.0,0.0,0.0,0.0,-0.011015854415464666
1695706667.529699,map,1.79657905210045,0.0,0.0,0.0,0.0,-0.011853864034941177
1695706667.5493891,map,1.809991316981732,0.0,0.0,0.0,0.0,-0.011854774885935632
